,Topic,TweetId,AuthorId,AuthorName,AuthorUsername,#urls,urls,Text,canonical_urls
72,6.0,1475834890734161920,947532375264768000,Sludge,Sludge,0,https://t.co/SX3WGhblCD,"Fossil fuel lobbyist Mary Landrieu's new climate foundation, wooing lawmakers with sponsored trips, shares an executive director with a group funded by Exxon and Dow.

https://t.co/SX3WGhblCD",http://dlvr.it/SFGtDm
104,6.0,1475164640317513732,1432457593675464704,Rei Wolfsohn,Rei_Wolfsohn,0,https://t.co/UX4JCaPbu8,Exxon - Inside Climate News https://t.co/UX4JCaPbu8,https://finance.yahoo.com/news/activist-group-targets-exxon-shareholder-140530804.html?soc_src=social-sh&amp;soc_trk=tw&amp;tsrc=twtr
106,6.0,1475151022024806403,1453270633,Bev,HillBeverlyhill,0,https://t.co/4h82nJSGhx,"Fossil Fuel Industries Pumped Millions Into Trump's Inauguration, Filing Shows - Inside Climate News https://t.co/4h82nJSGhx",https://yhoo.it/3pOZqHt
108,6.0,1475147587200053252,1387167021364768768,sobroquet,sobroquet,0,https://t.co/VdTmRR4umz,"Ignore the wisdom of women at your peril:
https://t.co/VdTmRR4umz
https://t.co/WsNb4DbBJl
https://t.co/fMxkGsGMB4",https://www.downrightnews.com
109,6.0,1475147587200053252,1387167021364768768,sobroquet,sobroquet,1,https://t.co/WsNb4DbBJl,"Ignore the wisdom of women at your peril:
https://t.co/VdTmRR4umz
https://t.co/WsNb4DbBJl
https://t.co/fMxkGsGMB4",https://twitter.com/real_DRN/status/1470051452823425030/photo/1
110,6.0,1475147587200053252,1387167021364768768,sobroquet,sobroquet,2,https://t.co/fMxkGsGMB4,"Ignore the wisdom of women at your peril:
https://t.co/VdTmRR4umz
https://t.co/WsNb4DbBJl
https://t.co/fMxkGsGMB4",https://www.reuters.com/markets/commodities/activist-group-targets-exxon-with-shareholder-climate-resolution-2021-12-12/
164,6.0,1473684945470164992,3020458463,Lee-Chin Institute,Lee_Chin_Inst,0,https://t.co/QhQbql06aw,"From @edie: Exxon faces backlash from activist investors over updated climate targets
Investors are putting forward a shareholder resolution that would require the firm to align emissions goals with climate science and face up to its Scope 3 emissions
 https://t.co/QhQbql06aw https://t.co/JR0yls7vz3",https://heated.world/p/how-exxon-duped-the-daily
165,6.0,1473684945470164992,3020458463,Lee-Chin Institute,Lee_Chin_Inst,1,https://t.co/JR0yls7vz3,"From @edie: Exxon faces backlash from activist investors over updated climate targets
Investors are putting forward a shareholder resolution that would require the firm to align emissions goals with climate science and face up to its Scope 3 emissions
 https://t.co/QhQbql06aw https://t.co/JR0yls7vz3",https://www.chicagotribune.com/business/ct-biz-edelman-pr-climate-change-exxon-20211116-5wgsdipmwvbrdob4l37tzxyq2q-story.html
189,6.0,1473119279985815553,1368849320,Australasian Centre for Corporate Responsibility,AustCCR,0,https://t.co/tLICXtSWl6,"Perhaps they were concerned with products being seen as misleading for investors.

@UBS Asset Management revealed that it has divested its holdings in five energy companies from its suite of Climate Aware funds and fixed income sustainability funds. #ESG https://t.co/tLICXtSWl6",https://grist.org/politics/climate-denial-oil-executives-play-dumb-major-congressional-hearing/
228,6.0,1472934395195633670,597517815,Giovanni Staunovo🛢🇮🇹,staunovo,0,https://t.co/8wesPWqaaA,"ExxonMobil faces a fresh challenge from activist shareholders next year, even after unveiling a suite of climate goals, including a target to zero out operational emissions from its key Permian basin assets by 2030. #oott https://t.co/8wesPWqaaA",https://www.nytimes.com/2021/09/16/climate/exxon-oil-disinformation-house-probe.html?searchResultPosition=1
272,6.0,1472687688490766340,1002918965549588481,Twheater,Twheater2,0,https://t.co/BEbUGI8Eoe,WATCH: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the g… https://t.co/BEbUGI8Eoe,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
273,6.0,1472683156151025671,1652541,Reuters,Reuters,0,https://t.co/P7fUyhiZIf,WATCH: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/P7fUyhiZIf https://t.co/9lUgMmU79D,https://ed.gr/dky9m
274,6.0,1472683156151025671,1652541,Reuters,Reuters,1,https://t.co/9lUgMmU79D,WATCH: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/P7fUyhiZIf https://t.co/9lUgMmU79D,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
279,6.0,1472637198910603264,83950567,Eric D Tyson,Eighthhouse,0,https://t.co/Pup7udT6wW,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/Pup7udT6wW via @Yahoo,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
280,6.0,1472631758474694662,408481801,Hal von Luebbert,HeWalksinStorms,0,https://t.co/wdWf7rQ3jA,"Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/wdWf7rQ3jA via @Yahoo Well, I'll be darned...!",https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
282,6.0,1472622758165164034,1652541,Reuters,Reuters,0,https://t.co/P7fUyhAB6P,ICYMI: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/P7fUyhAB6P https://t.co/380OCSxkH7,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
283,6.0,1472622758165164034,1652541,Reuters,Reuters,1,https://t.co/380OCSxkH7,ICYMI: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/P7fUyhAB6P https://t.co/380OCSxkH7,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
